epoch_ms,q0_w,q1_x,q2_y,q3_z
1785956089578,0.9998987913131714,-0.0021452971268445253,-0.014063614420592785,0.0
1785956089588,0.9998972415924072,-0.0021453348454087973,-0.014175429940223694,2.4056438974184857e-07
1785956089597,0.9998955726623535,-0.0021454349625855684,-0.014290875755250454,4.911606197310903e-07
1785956089607,0.9998941421508789,-0.0021454649977385998,-0.014391949400305748,7.089723794706515e-07
1785956089617,0.99989253282547,-0.002145486418157816,-0.014502461068332195,9.464641834711074e-07
1785956089627,0.9998914003372192,-0.0021454282104969025,-0.014581343159079552,1.1151472563142306e-06
1785956089636,0.9998900890350342,-0.002145153470337391,-0.01467037107795477,1.3040445310252835e-06
1785956089647,0.9998887181282043,-0.002144379075616598,-0.014764394611120224,1.4973836641729577e-06
1785956089657,0.9998872876167297,-0.002143532270565629,-0.014859434217214584,1.6921731003094465e-06
1785956089667,0.9998860955238342,-0.002142632845789194,-0.014937805943191051,1.8492121398594463e-06
1785956089677,0.9998844265937805,-0.00214218907058239,-0.015047943219542503,2.08020583158941e-06
1785956089686,0.9998831748962402,-0.0021419089753180742,-0.015131771564483643,2.2571962290385272e-06
1785956089696,0.9998816251754761,-0.0021417811512947083,-0.015232652425765991,2.472688947818824e-06
1785956089707,0.9998801946640015,-0.002141806297004223,-0.015332277864217758,2.688071845113882e-06
1785956089717,0.9998785257339478,-0.0021420700941234827,-0.01544189266860485,2.930843947979156e-06
1785956089726,0.9998771548271179,-0.002142123645171523,-0.015530471689999104,3.125266175629804e-06
1785956089736,0.9998753070831299,-0.0021415420342236757,-0.01564934104681015,3.380174121048185e-06
1785956089746,0.9998735189437866,-0.0021415851078927517,-0.01575915329158306,3.624756573117338e-06
1785956089756,0.9998720288276672,-0.002141599776223302,-0.015852641314268112,3.830567493423587e-06
1785956089767,0.9998708367347717,-0.0021416875533759594,-0.015925167128443718,3.992266101704445e-06
1785956089775,0.9998693466186523,-0.002141935285180807,-0.016023706644773483,4.213553438603412e-06
1785956089786,0.999867856502533,-0.002141873352229595,-0.016116982325911522,4.418628577695927e-06
1785956089796,0.9998664855957031,-0.0021421241108328104,-0.01620078831911087,4.608250492310617e-06
1785956089806,0.9998648166656494,-0.0021425785962492228,-0.016303298994898796,4.847062427870696e-06
1785956089815,0.9998629093170166,-0.002142832148820162,-0.016421031206846237,5.117732598591829e-06
1785956089825,0.9998614192008972,-0.0021428214386105537,-0.016512975096702576,5.326561677065911e-06
1785956089836,0.9998599886894226,-0.002142680576071143,-0.01659964583814144,5.521977072930895e-06
1785956089846,0.999858558177948,-0.00214273389428854,-0.016686350107192993,5.725109531340422e-06
1785956089856,0.9998567700386047,-0.002142914803698659,-0.016792654991149902,5.974041414447129e-06
1785956089865,0.9998550415039062,-0.002142661716789007,-0.016892684623599052,6.2065710153547116e-06
1785956089875,0.9998534321784973,-0.0021421522833406925,-0.01698756031692028,6.4231826399918646e-06
1785956089885,0.9998517632484436,-0.0021418752148747444,-0.017082693055272102,6.643108008574927e-06
1785956089896,0.9998498558998108,-0.002141291042789817,-0.01719352789223194,6.89762418915052e-06
1785956089904,0.9998482465744019,-0.0021409792825579643,-0.017287718132138252,7.1188228503160644e-06
1785956089915,0.9998466372489929,-0.002140150172635913,-0.017380792647600174,7.3333512773388065e-06
1785956089925,0.9998455047607422,-0.002139017451554537,-0.017447253689169884,7.486745289497776e-06
1785956089935,0.9998438954353333,-0.0021388507448136806,-0.017541328445076942,7.710417776252143e-06
1785956089945,0.9998420476913452,-0.0021391077898442745,-0.01764790154993534,7.965479198901448e-06
1785956089954,0.9998401403427124,-0.0021390700712800026,-0.017753973603248596,8.210789019358344e-06
1785956089964,0.9998385906219482,-0.0021390432957559824,-0.0178386103361845,8.412070201302413e-06
1785956089975,0.9998371005058289,-0.0021386323496699333,-0.017921844497323036,8.609455107944086e-06
1785956089985,0.9998348355293274,-0.002138387179002166,-0.018047945573925972,8.904887181415688e-06
1785956089994,0.999833345413208,-0.0021390512119978666,-0.018130982294678688,9.1220417743898e-06
1785956090004,0.9998317360877991,-0.0021396460942924023,-0.018218152225017548,9.351741027785465e-06
1785956090014,0.9998303055763245,-0.002139973919838667,-0.01829901523888111,9.567631423124112e-06
1785956090024,0.999828577041626,-0.002140614902600646,-0.018395356833934784,9.82380242930958e-06
1785956090035,0.9998267889022827,-0.002140977419912815,-0.01849169284105301,1.008035360428039e-05
1785956090044,0.9998248219490051,-0.002140685683116317,-0.018592441454529762,1.0332521014788654e-05
1785956090054,0.9998235106468201,-0.0021402626298367977,-0.018661094829440117,1.0515678695810493e-05
1785956090064,0.9998221397399902,-0.002138951327651739,-0.01873438060283661,1.069473637471674e-05
1785956090074,0.9998207688331604,-0.0021377531811594963,-0.018808618187904358,1.0873663086385932e-05
1785956090083,0.9998193383216858,-0.0021365813445299864,-0.01888374052941799,1.1055290087824687e-05
1785956090093,0.9998183250427246,-0.0021351620089262724,-0.01894213818013668,1.1196002560609486e-05
1785956090104,0.9998161196708679,-0.00213418691419065,-0.019059419631958008,1.1466431715234648e-05
1785956090114,0.9998142123222351,-0.0021330793388187885,-0.01915920153260231,1.1704040844051633e-05
1785956090123,0.9998123049736023,-0.0021318637300282717,-0.019257256761193275,1.1943014214921277e-05
1785956090133,0.9998106360435486,-0.0021298956125974655,-0.019343730062246323,1.2152051567682065e-05
1785956090143,0.9998089075088501,-0.0021297468338161707,-0.019433580338954926,1.2406218957039528e-05
1785956090153,0.9998076558113098,-0.0021306301932781935,-0.019500205293297768,1.2640291970456019e-05
1785956090164,0.99980628490448,-0.002130770357325673,-0.019570106640458107,1.2852980944444425e-05
