epoch_ms,q0_w,q1_x,q2_y,q3_z,time_s
1785956091016,0.9974563121795654,-0.0520557388663291,0.0484359972178936,-0.0050020329654216,0.0
1785956091026,0.9980767369270324,-0.042575404047966,0.0450513660907745,-0.0007666919846087,0.01
1785956091037,0.9990776181221008,-0.0299868937581777,0.030507868155837,-0.0037260588724166,0.021
1785956091047,0.9998155832290648,-0.0112471580505371,0.002865255344659,-0.0152997160330414,0.031
1785956091056,0.9989631175994872,0.0196027792990207,-0.0291534475982189,-0.0289562921971082,0.04
1785956091066,0.9988166093826294,0.0245968643575906,-0.037588957697153,-0.0186401568353176,0.05
1785956091076,0.9988746047019958,0.0202299039810895,-0.0387041084468364,-0.0185010489076375,0.06
1785956091086,0.99895977973938,0.0197852998971939,-0.0366669334471225,-0.0185319241136312,0.07
1785956091097,0.9989393949508668,0.019918480888009,-0.0371428541839122,-0.0185360834002494,0.081
1785956091106,0.9989413022994996,0.0192867927253246,-0.0374757945537567,-0.0184345170855522,0.09
1785956091116,0.9989671111106871,0.0189993251115083,-0.0370165109634399,-0.0182577613741159,0.1
1785956091126,0.998935878276825,0.0201253071427345,-0.0372843481600284,-0.0182205624878406,0.11
1785956091136,0.9989166259765624,0.021055968478322,-0.037301305681467,-0.0181858167052268,0.12
1785956091145,0.9989060163497924,0.0219432655721902,-0.0370939597487449,-0.0181481204926967,0.129
1785956091155,0.9988934993743896,0.0228142403066158,-0.0369204804301261,-0.0181117374449968,0.139
1785956091166,0.9988799095153807,0.0234754141420125,-0.0368520207703113,-0.0181539971381425,0.15
1785956091176,0.9988732933998108,0.0238632746040821,-0.0367629341781139,-0.0182007122784852,0.16
1785956091185,0.9988638758659364,0.0244132131338119,-0.0366665609180927,-0.0181779991835355,0.169
1785956091195,0.9989015460014344,0.0238290410488843,-0.0360230952501297,-0.0181693192571401,0.179
1785956091205,0.9989367127418518,0.0231795161962509,-0.0354681499302387,-0.0181686971336603,0.189
1785956091215,0.9989725351333618,0.0224343836307525,-0.0349338464438915,-0.0181750655174255,0.199
1785956091226,0.9990056753158568,0.0216178074479103,-0.0344901047646999,-0.0181872732937335,0.21
1785956091234,0.9990350008010864,0.0208179410547018,-0.0341228060424327,-0.0182007495313882,0.218
1785956091245,0.9990593791007996,0.0201844964176416,-0.0337845422327518,-0.0182075276970863,0.229
1785956091255,0.9990788102149964,0.0196540039032697,-0.0335203669965267,-0.0182114392518997,0.239
1785956091265,0.9990984797477722,0.0191914439201354,-0.0331999883055686,-0.018210919573903,0.249
1785956091274,0.9991151094436646,0.0188520587980747,-0.0328962244093418,-0.0182057786732912,0.258
1785956091284,0.9997028708457948,-0.0004127798893023,-0.0165503732860088,-0.0178906135261058,0.268
1785956091294,0.9996952414512634,-0.0013416225556284,-0.0169733222573995,-0.0178731549531221,0.278
1785956091305,0.9996964335441588,-0.001242188271135,-0.0169170871376991,-0.0178715121001005,0.289
1785956091315,0.9996979832649232,-0.0010990417795255,-0.0168387275189161,-0.0178690198808908,0.299
1785956091324,0.9996991157531738,-0.0009661290096119,-0.0167780797928571,-0.0178665127605199,0.308
1785956091334,0.9996993541717528,-0.0008698445744812,-0.0167720392346382,-0.0178645495325326,0.318
1785956091344,0.9996995329856871,-0.0008028696756809,-0.0167670026421546,-0.0178631972521543,0.328
1785956091355,0.999699592590332,-0.0008060387917794,-0.016762500628829,-0.0178631413727998,0.339
1785956091365,0.999699592590332,-0.0008953956421464,-0.0167583003640174,-0.017864640802145,0.349
1785956091375,0.9996995329856871,-0.0010085568064823,-0.0167535785585641,-0.0178666226565837,0.359
