epoch_ms,q0_w,q1_x,q2_y,q3_z,time_s
1785956091051,0.9940108060836792,0.1068465933203697,0.0133177191019058,0.0186837092041969,0.0
1785956091061,0.9942011833190918,0.1059832945466041,0.0179952718317508,-0.0027311367448419,0.01
1785956091071,0.9940105676651,0.1081158071756362,0.0159375742077827,-0.0001008547042147,0.02
1785956091081,0.9939656853675842,0.108587808907032,0.0148272095248103,0.004582776222378,0.03
1785956091092,0.993911862373352,0.1090298146009445,0.0152020715177059,0.0045472285710275,0.041
1785956091101,0.9938687682151794,0.1094058826565742,0.0157564207911491,0.0026299427263438,0.05
1785956091111,0.993914008140564,0.1090556979179382,0.015527818351984,0.000809715478681,0.06
1785956091121,0.993960738182068,0.1085629239678382,0.0151074891909956,0.005278306081891,0.07
1785956091131,0.993987500667572,0.1082752794027328,0.0149146812036633,0.0065425341017544,0.08
1785956091142,0.994041621685028,0.1077775955200195,0.0149114038795232,0.0065500005148351,0.091
1785956091152,0.994145691394806,0.1068161129951477,0.0148335834965109,0.0066799214109778,0.101
1785956091162,0.99423086643219,0.1060289293527603,0.0147344339638948,0.0067673185840249,0.111
1785956091172,0.994258999824524,0.1055316254496574,0.0142854563891887,0.0103968027979135,0.121
1785956091181,0.9942325353622437,0.105564072728157,0.0140437092632055,0.0126740206032991,0.13
1785956091191,0.9942036867141724,0.1057121232151985,0.0139273079112172,0.0137842614203691,0.14
1785956091202,0.9941667914390564,0.1060518696904182,0.0139258131384849,0.0138377714902162,0.151
1785956091212,0.994128942489624,0.1064066737890243,0.0139307519420981,0.0138328019529581,0.161
1785956091222,0.994084894657135,0.1068099215626716,0.0139301149174571,0.0138854151591658,0.171
1785956091232,0.9943910241127014,0.1039883270859718,0.0133913941681385,0.0139106241986155,0.181
1785956091243,0.9946962594985962,0.1011138632893562,0.0129133276641368,0.013729216530919,0.192
1785956091253,0.9950310587882996,0.0981786102056503,0.012647945433855,0.0106839714571833,0.202
