epoch_ms,acc_x,acc_y,acc_z,magnitude
1785956089932,0.0185546875,-0.0029296875,1.0234375,1.0236098748562952
1785956089942,0.02099609375,-0.00341796875,1.03076171875,1.030981202206708
1785956089952,0.0205078125,-0.00390625,1.02685546875,1.0270676622620245
1785956089962,0.02001953125,-0.0029296875,1.029296875,1.0294957122713446
1785956089973,0.01806640625,-0.00341796875,1.02880859375,1.0289728859979832
1785956089983,0.01904296875,-0.00341796875,1.029296875,1.0294786904321793
1785956089993,0.01904296875,-0.00390625,1.02978515625,1.0299686216000528
1785956090003,0.01904296875,-0.00439453125,1.029296875,1.0294823958905204
1785956090012,0.01953125,-0.00390625,1.0283203125,1.0285131956449187
1785956090022,0.02001953125,-0.00439453125,1.03125,1.0314536616040377
1785956090033,0.0185546875,-0.0029296875,1.02880859375,1.0289800688404624
1785956090043,0.01708984375,-0.00341796875,1.029296875,1.0294444143102341
1785956090053,0.0185546875,-0.0029296875,1.029296875,1.029468268759089
1785956090063,0.01904296875,-0.0029296875,1.02978515625,1.029965380855346
1785956090074,0.0185546875,-0.00244140625,1.02978515625,1.0299551955913118
1785956090084,0.01953125,-0.00341796875,1.02880859375,1.0289996476242307
1785956090093,0.02001953125,-0.00244140625,1.0302734375,1.0304708138098884
1785956090103,0.021484375,-0.00390625,1.02978515625,1.0300166528707388
1785956090113,0.02099609375,-0.00341796875,1.02978515625,1.0300048478021702
1785956090123,0.0205078125,-0.0029296875,1.029296875,1.0295053231174418
1785956090134,0.0185546875,-0.00341796875,1.029296875,1.0294697741183878
1785956090144,0.01806640625,-0.00341796875,1.02880859375,1.0289728859979832
1785956090154,0.02001953125,-0.00390625,1.03369140625,1.0338926268117181
1785956090164,0.01953125,-0.0029296875,1.03173828125,1.0319272909425907
1785956090173,0.01806640625,-0.00341796875,1.029296875,1.0294610893229192
1785956090184,0.01708984375,-0.00537109375,1.0302734375,1.0304291666221104
1785956090194,0.01708984375,-0.00390625,1.0283203125,1.0284697305456099
1785956090204,0.0166015625,-0.0029296875,1.0283203125,1.0284584872742248
1785956090214,0.01806640625,-0.0029296875,1.03076171875,1.0309241965072369
1785956090225,0.0185546875,-0.00390625,1.0302734375,1.0304479080649112
1785956090235,0.0185546875,-0.00390625,1.03076171875,1.030936106680593
1785956090245,0.01708984375,-0.00244140625,1.0302734375,1.0304180604210813
1785956090255,0.0185546875,-0.0048828125,1.029296875,1.0294756797374567
1785956090264,0.01806640625,-0.00439453125,1.029296875,1.0294647948446138
1785956090274,0.01806640625,-0.0048828125,1.02880859375,1.0289787944688427
1785956090285,0.02099609375,-0.0029296875,1.0283203125,1.0285388102165636
1785956090295,0.01953125,-0.00341796875,1.02685546875,1.0270468859495756
1785956090305,0.0185546875,-0.00341796875,1.0283203125,1.0284933757874652
1785956090315,0.0205078125,-0.00390625,1.02978515625,1.0299967462062365
1785956090326,0.0205078125,-0.0029296875,1.029296875,1.0295053231174418
1785956090336,0.01806640625,-0.00341796875,1.02880859375,1.0289728859979832
1785956090345,0.0185546875,-0.0029296875,1.0302734375,1.0304446688275586
1785956090355,0.02099609375,-0.00244140625,1.02880859375,1.0290257134742011
1785956090365,0.01904296875,-0.00341796875,1.029296875,1.0294786904321793
1785956090375,0.01806640625,-0.00390625,1.029296875,1.0294628262878744
1785956090386,0.01953125,-0.00244140625,1.02880859375,1.0289968672279293
1785956090396,0.01708984375,-0.00341796875,1.0302734375,1.0304208369825612
1785956090406,0.0166015625,-0.00390625,1.02978515625,1.0299263753780368
1785956090416,0.017578125,-0.00439453125,1.02880859375,1.0289681360262208
1785956090425,0.01708984375,-0.0029296875,1.02880859375,1.028954696962942
1785956090435,0.015625,-0.00244140625,1.02978515625,1.0299065827162746
1785956090446,0.01708984375,-0.00390625,1.0302734375,1.0304225723296867
1785956090456,0.017578125,-0.00439453125,1.029296875,1.0294563416037557
1785956090466,0.0205078125,-0.00341796875,1.0302734375,1.030483191955103
1785956090476,0.0205078125,-0.00390625,1.029296875,1.0295085653103442
1785956090487,0.01806640625,-0.00341796875,1.029296875,1.0294610893229192
1785956090497,0.01904296875,-0.001953125,1.02978515625,1.0299630660314554
1785956090506,0.01953125,-0.00146484375,1.03076171875,1.030947785454835
1785956090516,0.02099609375,-0.001953125,1.0302734375,1.030489207448623
1785956090526,0.01904296875,-0.00390625,1.029296875,1.0294804273674374
1785956090537,0.0205078125,-0.0048828125,1.02978515625,1.030000912749247
1785956090547,0.021484375,-0.00341796875,1.03076171875,1.0309912617088326
1785956090557,0.0185546875,-0.00341796875,1.0302734375,1.0304461727604528
1785956090567,0.017578125,-0.00341796875,1.02978515625,1.0299408434573942
1785956090578,0.01806640625,-0.00341796875,1.03076171875,1.0309256997405876
1785956090588,0.017578125,-0.00390625,1.02978515625,1.0299425796132593
