epoch_ms,q0_w,q1_x,q2_y,q3_z
1785956089933,0.9999578595161438,-0.0014313030987977982,-0.009064918383955956,0.0
1785956089942,0.9999578595161438,-0.0014313340652734041,-0.009065071120858192,6.1936344941671e-11
1785956089952,0.9999578595161438,-0.0014314624713733792,-0.009065402671694756,7.520016831463749e-10
1785956089962,0.9999578595161438,-0.00143152114469558,-0.009065679274499416,8.876331891727318e-10
1785956089973,0.9999578595161438,-0.0014315597945824265,-0.00906573049724102,1.1641885233615312e-09
1785956089983,0.9999578595161438,-0.0014316022861748934,-0.009065776132047176,1.4847822971120195e-09
1785956089993,0.9999578595161438,-0.0014316857559606433,-0.009065828286111355,2.1669155358949865e-09
1785956090003,0.9999579787254333,-0.0013679787516593933,-0.0090658999979496,5.834264129589428e-07
1785956090014,0.9999580383300781,-0.001304339850321412,-0.009066035971045494,1.165228582067357e-06
1785956090022,0.9999580979347229,-0.0012462164741009474,-0.009066310711205006,1.7002995491566253e-06
1785956090033,0.9999580979347229,-0.001246398314833641,-0.009066392667591572,1.7018461448969902e-06
1785956090043,0.9999580979347229,-0.0012465554755181074,-0.009066317230463028,1.7033651147357887e-06
1785956090053,0.9999580979347229,-0.001246635103598237,-0.009066282771527767,1.7041309092746815e-06
1785956090063,0.9999580979347229,-0.0012466695625334978,-0.009066282771527767,1.7044428659573896e-06
1785956090074,0.9999580979347229,-0.0012466778280213475,-0.009066280908882618,1.7045204003807157e-06
1785956090084,0.9999580979347229,-0.001246731262654066,-0.009066319093108177,1.704958094705944e-06
1785956090094,0.9999580979347229,-0.0012467586202546954,-0.009066415950655937,1.705085082903679e-06
1785956090104,0.9999580979347229,-0.0012469666544348001,-0.009066903963685036,1.7063625818991568e-06
1785956090113,0.9999580979347229,-0.0012472209054976702,-0.00906754843890667,1.7078647260859725e-06
1785956090123,0.9999580979347229,-0.0012473959941416979,-0.009068114683032036,1.7087461401388282e-06
1785956090134,0.9999580979347229,-0.0012475387193262577,-0.009068316780030727,1.7097881936933845e-06
1785956090144,0.9999580979347229,-0.001247634761966765,-0.009068352170288563,1.7106154928114847e-06
1785956090154,0.9999580979347229,-0.001247844542376697,-0.009068501181900501,1.712331823000568e-06
1785956090164,0.9999580979347229,-0.0012479705037549138,-0.009068635292351246,1.7133071423813817e-06
1785956090175,0.9999580979347229,-0.0012480554869398475,-0.009068652056157589,1.7140573618235067e-06
1785956090185,0.9999580979347229,-0.001248517190106213,-0.009068477898836136,1.7184622720378684e-06
1785956090194,0.9999580979347229,-0.0012489832006394863,-0.009068156592547894,1.7230886442121118e-06
1785956090204,0.9999580979347229,-0.0012492798268795013,-0.009067712351679802,1.7263328118133359e-06
1785956090214,0.9999580979347229,-0.0012494322145357728,-0.009067474864423275,1.72801117059862e-06
1785956090225,0.9999580979347229,-0.0012496255803853273,-0.009067344479262829,1.729927703308931e-06
1785956090235,0.9999580979347229,-0.0012498371070250869,-0.009067264385521412,1.731945985739003e-06
1785956090245,0.9999580979347229,-0.0012499388540163636,-0.009067093022167683,1.7330826267425437e-06
1785956090255,0.9999580979347229,-0.0012502457248046994,-0.009066962637007236,1.7360283663947484e-06
1785956090266,0.9999580979347229,-0.0012506414204835892,-0.009066813625395298,1.739802428346593e-06
1785956090274,0.9999580979347229,-0.0012511981185525656,-0.00906664039939642,1.7450661289331038e-06
1785956090285,0.9999580979347229,-0.0012514730915427208,-0.00906680803745985,1.7473496427555801e-06
1785956090295,0.9999580979347229,-0.001251701731234789,-0.009066985920071602,1.7492001234131749e-06
1785956090305,0.9999581575393677,-0.0011986230965703726,-0.009067055769264698,2.2337378595693735e-06
1785956090315,0.9999581575393677,-0.001198953832499683,-0.009067337028682232,2.2363997231877875e-06
1785956090326,0.9999581575393677,-0.0011991923674941063,-0.009067715145647526,2.2381088911060942e-06
1785956090336,0.9999581575393677,-0.001199345220811665,-0.009067798964679241,2.2393935523723485e-06
1785956090346,0.9999581575393677,-0.0011994225205853581,-0.009067822247743607,2.2400661237043096e-06
1785956090355,0.9999581575393677,-0.0011994914384558797,-0.009068035520613194,2.240434696432203e-06
1785956090365,0.9999581575393677,-0.001199599588289857,-0.009068174287676811,2.241249376311316e-06
1785956090375,0.9999581575393677,-0.0011997368419542909,-0.009068198502063751,2.2424653707275866e-06
1785956090386,0.9999581575393677,-0.001199801336042583,-0.009068257175385952,2.242979689981439e-06
1785956090396,0.9999581575393677,-0.0011999006383121014,-0.009068194776773453,2.2439544409280643e-06
1785956090406,0.9999581575393677,-0.0012001735158264637,-0.009067884646356106,2.2468011593446136e-06
1785956090416,0.9999581575393677,-0.001200610538944602,-0.009067539125680923,2.2511783299705712e-06
1785956090427,0.9999581575393677,-0.0012008845806121826,-0.0090671731159091,2.2541021280630957e-06
1785956090435,0.9999581575393677,-0.0012010505888611078,-0.009066518396139145,2.2563945094589144e-06
1785956090446,0.9999581575393677,-0.001201361184939742,-0.009065897203981876,2.259956090711057e-06
1785956090456,0.9999581575393677,-0.0012018326669931412,-0.009065377525985241,2.2648548565484816e-06
1785956090466,0.9999581575393677,-0.0012019991409033537,-0.009065375663340092,2.2663659819954773e-06
1785956090476,0.9999581575393677,-0.001202321844175458,-0.009065580554306507,2.2690448986395495e-06
1785956090487,0.9999581575393677,-0.0012024983298033476,-0.009065608493983746,2.270610366394976e-06
1785956090497,0.9999581575393677,-0.001202528364956379,-0.009065628983080387,2.270857521580183e-06
1785956090507,0.9999581575393677,-0.0012025063624605536,-0.009065676480531693,2.270601498821634e-06
1785956090518,0.9999581575393677,-0.0012024323223158717,-0.009065942838788033,2.2696108317177277e-06
1785956090526,0.9999581575393677,-0.0012025019386783242,-0.009066085331141949,2.270070581289474e-06
1785956090537,0.9999581575393677,-0.0012029147474095225,-0.009066496975719929,2.2733186142431805e-06
1785956090547,0.9999581575393677,-0.0012033387320116162,-0.009067227132618427,2.276284021718311e-06
1785956090557,0.9999581575393677,-0.0012035974068567157,-0.009067479521036148,2.278325155202765e-06
1785956090567,0.9999581575393677,-0.0012037240667268634,-0.009067488834261894,2.279462933074683e-06
1785956090578,0.9999581575393677,-0.0012038631830364466,-0.009067454375326633,2.2807662389823236e-06
1785956090588,0.9999582767486572,-0.0011242704931646585,-0.009067308157682419,3.0083047022344545e-06
1785956090598,0.9999582767486572,-0.0011247372021898627,-0.009066903032362461,3.0129917831800412e-06
1785956090607,0.9999584555625916,-0.0009865944739431143,-0.009066838771104813,4.2719825614767615e-06
1785956090617,0.9999584555625916,-0.0009866864420473576,-0.009066740982234478,4.272912974556675e-06
1785956090627,0.9999585747718811,-0.0008702737977728248,-0.00906633771955967,5.342846179701155e-06
1785956090638,0.9999586939811707,-0.0007431359263136983,-0.009066122584044933,6.508465503429761e-06
1785956090648,0.9999587535858154,-0.0006900403532199562,-0.009066051803529263,6.993112947384361e-06
1785956090658,0.9999587535858154,-0.0006901987362653017,-0.00906600896269083,6.994578598096268e-06
1785956090668,0.9999587535858154,-0.000541744870133698,-0.009066147729754448,8.352983059012331e-06
